26.7978 	INFO 	Loaded monitor calibration from ['2024_08_16 01:13']
26.8158 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
27.2017 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002DA3970B100>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002DA3970B160>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002DA3970B310>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002DA32541C30>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
27.2019 	EXP 	window1: backgroundImage = ''
27.2019 	EXP 	window1: backgroundFit = 'none'
27.2024 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002DA3970AF20>
27.2028 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002DA3970AF20>
27.2094 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002DA3970AF20>
27.2102 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002DA3970AF20>
27.2786 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002DA3970AF20>
27.2787 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002DA3970AF20>
27.2795 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002DA3970AF20>
27.2804 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002DA3970AF20>
27.3146 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
27.3146 	EXP 	window1: recordFrameIntervals = False
27.4524 	EXP 	window1: recordFrameIntervals = True
27.6361 	EXP 	Screen (0) actual frame rate measured at 60.03Hz
27.6361 	EXP 	window1: recordFrameIntervals = False
27.6362 	EXP 	window1: mouseVisible = False
30.5659 	INFO 	keyboard.Keyboard is using iohub backend.
30.5659 	INFO 	keyboard.Keyboard is using iohub backend.
30.5660 	INFO 	keyboard.Keyboard is using iohub backend.
30.5660 	EXP 	soloprojectlexical: status = STARTED
30.5662 	EXP 	window1: mouseVisible = False
30.6762 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
30.6763 	EXP 	window1: mouseVisible = False
30.6816 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.03, 0.03]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
30.6816 	EXP 	window1: mouseVisible = False
30.6823 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
30.6824 	EXP 	window1: mouseVisible = False
30.6891 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='<- non-words              words ->', units='height', win=Window(...), wrapWidth=1)
30.6892 	EXP 	window1: mouseVisible = False
30.6956 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Thank you for participating!', units='height', win=Window(...), wrapWidth=1)
0.0061 	INFO 	Keyboard events cleared
0.0057 	EXP 	text_4: autoDraw = True
0.9741 	EXP 	Imported conds.xlsx as conditions, 80 conditions, 3 params
0.9751 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'words': 'shoule', 'number_of_letters': 6, 'corrAns': 'left', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.9805 	DATA 	Keypress: space
0.9822 	EXP 	text_4: autoDraw = False
0.9822 	EXP 	text: height = 0.05
0.9822 	EXP 	text: height = 0.05
0.9822 	EXP 	text: height = 0.05
0.9822 	EXP 	text: text = 'shoule'
0.9822 	EXP 	fixation: autoDraw = True
0.9822 	EXP 	text_2: autoDraw = True
1.9741 	INFO 	Keyboard events cleared
1.9734 	EXP 	text: autoDraw = True
1.9901 	EXP 	fixation: autoDraw = False
1.9901 	EXP 	text_2: autoDraw = False
2.7081 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'words': 'experience', 'number_of_letters': 10, 'corrAns': 'right', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
2.7147 	DATA 	Keypress: left
2.7232 	EXP 	fixation: autoDraw = False
2.7232 	EXP 	text: autoDraw = False
2.7232 	EXP 	text_2: autoDraw = False
2.7232 	EXP 	text: height = 0.05
2.7232 	EXP 	text: height = 0.05
2.7232 	EXP 	text: height = 0.05
2.7232 	EXP 	text: text = 'experience'
2.7232 	EXP 	fixation: autoDraw = True
2.7232 	EXP 	text_2: autoDraw = True
3.7239 	INFO 	Keyboard events cleared
3.7234 	EXP 	fixation: autoDraw = False
3.7234 	EXP 	text: autoDraw = True
3.7234 	EXP 	text_2: autoDraw = False
4.4582 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'words': 'especially', 'number_of_letters': 10, 'corrAns': 'right', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
4.4619 	DATA 	Keypress: right
4.4733 	EXP 	fixation: autoDraw = False
4.4733 	EXP 	text: autoDraw = False
4.4733 	EXP 	text_2: autoDraw = False
4.4733 	EXP 	text: height = 0.05
4.4733 	EXP 	text: height = 0.05
4.4733 	EXP 	text: height = 0.05
4.4733 	EXP 	text: text = 'especially'
4.4733 	EXP 	fixation: autoDraw = True
4.4733 	EXP 	text_2: autoDraw = True
5.4737 	INFO 	Keyboard events cleared
5.4732 	EXP 	fixation: autoDraw = False
5.4732 	EXP 	text: autoDraw = True
5.4732 	EXP 	text_2: autoDraw = False
6.4579 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'words': 'beliefe', 'number_of_letters': 7, 'corrAns': 'left', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
6.4615 	DATA 	Keypress: right
6.4733 	EXP 	fixation: autoDraw = False
6.4733 	EXP 	text: autoDraw = False
6.4733 	EXP 	text_2: autoDraw = False
6.4733 	EXP 	text: height = 0.05
6.4733 	EXP 	text: height = 0.05
6.4733 	EXP 	text: height = 0.05
6.4733 	EXP 	text: text = 'beliefe'
6.4733 	EXP 	fixation: autoDraw = True
6.4733 	EXP 	text_2: autoDraw = True
7.4734 	INFO 	Keyboard events cleared
7.4730 	EXP 	fixation: autoDraw = False
7.4730 	EXP 	text: autoDraw = True
7.4730 	EXP 	text_2: autoDraw = False
8.2412 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'words': 'play', 'number_of_letters': 4, 'corrAns': 'right', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
8.2445 	DATA 	Keypress: right
8.2566 	EXP 	fixation: autoDraw = False
8.2566 	EXP 	text: autoDraw = False
8.2566 	EXP 	text_2: autoDraw = False
8.2566 	EXP 	text: height = 0.05
8.2566 	EXP 	text: height = 0.05
8.2566 	EXP 	text: height = 0.05
8.2566 	EXP 	text: text = 'play'
8.2566 	EXP 	fixation: autoDraw = True
8.2566 	EXP 	text_2: autoDraw = True
9.2572 	INFO 	Keyboard events cleared
9.2566 	EXP 	fixation: autoDraw = False
