8.5800 	INFO 	Loaded monitor calibration from ['2024_08_16 01:13']
8.6032 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
8.9183 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A7AAC0B100>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A7AAC0B160>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A7AAC0B310>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001A7A2A6DC30>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.9183 	EXP 	window1: backgroundImage = ''
8.9183 	EXP 	window1: backgroundFit = 'none'
8.9186 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001A7AAC0AF20>
8.9187 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001A7AAC0AF20>
8.9232 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001A7AAC0AF20>
8.9242 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001A7AAC0AF20>
8.9811 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001A7AAC0AF20>
8.9812 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001A7AAC0AF20>
8.9817 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001A7AAC0AF20>
8.9829 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001A7AAC0AF20>
9.0007 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.0007 	EXP 	window1: recordFrameIntervals = False
9.1333 	EXP 	window1: recordFrameIntervals = True
9.3170 	EXP 	Screen (0) actual frame rate measured at 59.99Hz
9.3170 	EXP 	window1: recordFrameIntervals = False
9.3172 	EXP 	window1: mouseVisible = False
11.7411 	INFO 	keyboard.Keyboard is using iohub backend.
11.7411 	INFO 	keyboard.Keyboard is using iohub backend.
11.7411 	INFO 	keyboard.Keyboard is using iohub backend.
11.7411 	EXP 	soloprojectlexical: status = STARTED
11.7414 	EXP 	window1: mouseVisible = False
