9.3725 	INFO 	Loaded monitor calibration from ['2024_08_16 01:13']
9.3965 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
9.7314 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000220C07EB1C0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000220C07EB220>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000220C07E8EE0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000220BFA3DBD0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.7315 	EXP 	window1: backgroundImage = ''
9.7315 	EXP 	window1: backgroundFit = 'none'
9.7318 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000220C07EAFE0>
9.7320 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000220C07EAFE0>
9.7365 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000220C07EAFE0>
9.7373 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000220C07EAFE0>
9.7986 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000220C07EAFE0>
9.7988 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000220C07EAFE0>
9.7996 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000220C07EAFE0>
9.8003 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000220C07EAFE0>
9.8191 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.8192 	EXP 	window1: recordFrameIntervals = False
9.9582 	EXP 	window1: recordFrameIntervals = True
10.1418 	EXP 	Screen (0) actual frame rate measured at 59.98Hz
10.1419 	EXP 	window1: recordFrameIntervals = False
10.1421 	EXP 	window1: mouseVisible = False
12.6736 	INFO 	keyboard.Keyboard is using iohub backend.
12.6736 	INFO 	keyboard.Keyboard is using iohub backend.
12.6737 	INFO 	keyboard.Keyboard is using iohub backend.
12.6737 	EXP 	soloprojectlexical: status = STARTED
12.6741 	EXP 	window1: mouseVisible = False
